job_id,title,search_role,company,location,country,salary_min,salary_max,contract_type,created_date
5761835421,Data analyst thales h/f (Intérim),Data Analyst,Page Personnel,"Haute-Garonne, Occitanie",France,,,contract,2026-06-13T00:18:30Z
5761835966,Product Data Analyst H/F (CDI),Data Analyst,Mercato de l'emploi,"Pyrénées-Orientales, Occitanie",France,,,permanent,2026-06-13T00:19:41Z
5761934511,Data scientist,Data Scientist,Spirica,"Paris, Ile-de-France",France,,,,2026-06-13T04:25:18Z
5762408578,AI Engineer,AI Engineer,OVENTI Consulting,"Lille, Nord",France,,,,2026-06-13T11:45:00Z
5762408898,Data Scientist,Data Scientist,Novelab,"Paris, Ile-de-France",France,,,,2026-06-13T11:45:21Z
5762411224,Data Scientist,Data Scientist,5 Degrés,"Paris, Ile-de-France",France,,,,2026-06-13T11:46:31Z
5762413183,Data Engineer Senior,Data Engineer,Urban Linker,"Paris, Ile-de-France",France,,,,2026-06-13T11:46:54Z
5762413264,AI & Machine Learning Engineer (M/F),Machine Learning Engineer,TNP Consultants,"Levallois-Perret, Nanterre",France,,,,2026-06-13T11:46:55Z
5762414583,Senior Full Stack AI Engineer,AI Engineer,Cavendish Professionals,France,France,,,,2026-06-13T11:47:38Z
5762414874,Data Engineer - F/H,Data Engineer,Ippon Technologies,"Bordeaux, Gironde",France,,,,2026-06-13T11:47:40Z
5762415151,Data Analyst – Master & Reference Data,Data Analyst,Geopost,"Issy-les-Moulineaux, Boulogne-Billancourt",France,,,,2026-06-13T11:47:42Z
5762415473,Data Analyst GCP,Data Analyst,PROXIAD,"Aix-en-Provence, Bouches-du-Rhône",France,,,,2026-06-13T11:47:48Z
5762961584,Machine Learning Engineer,Machine Learning Engineer,Pernod Ricard,France,France,,,,2026-06-13T23:15:20Z
5762964096,AI Engineer,AI Engineer,Renaissance Learning EMEA APAC,"Paris, Ile-de-France",France,55000,70000,,2026-06-13T23:17:39Z
5763365721,Data Analyst en alternance H/F,Data Analyst,Fiducial,"Lyon, Rhône",France,,,,2026-06-14T09:24:48Z
5763383168,DATA Engineer - H/F,Data Engineer,E.Leclerc,France,France,,,permanent,2026-06-14T09:27:52Z
5763509251,Data Analyst Supply Chain,Data Analyst,Capgemini Engineering,France,France,,,,2026-06-14T11:45:45Z
5763510361,Data Analyst Senior H/F,Data Analyst,Infotel,France,France,,,,2026-06-14T11:46:33Z
5763514653,Data Analyst Supply Chain,Data Analyst,Capgemini Engineering,"Aix-en-Provence, Bouches-du-Rhône",France,,,,2026-06-14T11:48:35Z
5763515254,Data Analyst H/F,Data Analyst,ALTHEA,"Lyon, Rhône",France,,,,2026-06-14T11:49:02Z
5763515299,Senior Data Scientist,Data Scientist,Oliver Bernard,"Paris, Ile-de-France",France,,,,2026-06-14T11:49:03Z
5763645977,Data scientist F/H (CDI),Data Scientist,COVEA,"1er Arrondissement, Paris",France,,,permanent,2026-06-14T16:40:09Z
5764776043,Data scientist IA (H/F) (CDI),Data Scientist,Efficity,"1er Arrondissement, Paris",France,,,permanent,2026-06-16T00:40:03Z
5764869248,MACHINE LEARNING ENGINEER - Freelance,Machine Learning Engineer,Collective.work,"Gironde, Nouvelle-Aquitaine",France,400,400,contract,2026-06-16T03:42:06Z
5765394235,Data Engineer H/F,Data Engineer,MATAWAN SERVICES,France,France,,,,2026-06-16T11:50:35Z
5765645312,Alternance - data analyst - f/h (CDD),Data Analyst,THALES SA,"Haute-Garonne, Occitanie",France,,,contract,2026-06-16T16:41:16Z
5765665551,ALTERNANCE - DATA SCIENTIST - H/F,Data Scientist,BNP PARIBAS,"Paris, Ile-de-France",France,,,,2026-06-16T17:53:48Z
5765665854,Alternance - Data Analyst - H/F,Data Analyst,BNP PARIBAS,"Mérignac, Bordeaux",France,,,,2026-06-16T17:53:51Z
5767163332,AI Engineer / Agentic AI Engineer,AI Engineer,Accenture,France,France,,,,2026-06-17T23:47:00Z
