job_id,title,search_role,company,location,country,salary_min,salary_max,contract_type,created_date,description
5763365721,Data Analyst en alternance H/F,Data Analyst,Fiducial,"Lyon, Rhône",France,,,,2026-06-14T09:24:48Z,"FIDUCIAL est le leader des services pluridisciplinaires aux petites entreprises, artisans, commerçants, professions libérales dans les métiers du droit, expertise comptabilité, banque, conseil financier, informatique, fourniture de bureau et sécurité. Nous recrutons un Data Analyst H/F en alternance à Lyon. Vous aurez les missions suivantes : •Traitement et analyse de données : - Collecter et nettoyer des bases de données - Automatiser le traitement des données via différents scripts - Réaliser…"
5733270725,Alternant Data sales analyst (en ),Data Analyst,OpenClassrooms,"Yerville, Rouen",France,108000.0,192000.0,contract,2026-05-18T18:53:07Z,Description du poste Bienvenue ! Cette opportunité fait partie d’un programme d'alternance proposé par OpenClassrooms. Elle s’adresse exclusivement aux candidats souhaitant suivre une formation en alternance avec OpenClassrooms. Seules les candidatures correspondant à ce critère pourront être étudiées. Qu’est-ce qu’un programme d'alternance ? C’est un parcours qui vous permet d’apprendre via une formation dédiée tout en travaillant au sein d'un employeur et en percevant une rémunération. Une fa…
5733270752,Alternant Data sales analyst (en ),Data Analyst,OpenClassrooms,"Seine-Maritime, Normandie",France,108000.0,192000.0,contract,2026-05-18T18:53:07Z,Description du poste Bienvenue ! Cette opportunité fait partie d’un programme d'alternance proposé par OpenClassrooms. Elle s’adresse exclusivement aux candidats souhaitant suivre une formation en alternance avec OpenClassrooms. Seules les candidatures correspondant à ce critère pourront être étudiées. Qu’est-ce qu’un programme d'alternance ? C’est un parcours qui vous permet d’apprendre via une formation dédiée tout en travaillant au sein d'un employeur et en percevant une rémunération. Une fa…
5761835966,Product Data Analyst H/F (CDI),Data Analyst,Mercato de l'emploi,"Pyrénées-Orientales, Occitanie",France,,,permanent,2026-06-13T00:19:41Z,"Rejoignez un acteur AdTech en forte croissance ! Mon client développe des solutions publicitaires innovantes, transparentes et responsables qui permettent aux éditeurs numériques de maximiser leurs revenus tout en préservant l'expérience utilisateur. Dans un contexte où les médias doivent relever de nombreux défis (monétisation, fidélisation des audiences, performance publicitaire, disparition des cookies tiers), mon client propose une plateforme tout-en-un qui simplifie et optimise la gestion …"
5709459780,Data analyst,Data Analyst,Homa,"Paris, Ile-de-France",France,,,,2026-04-24T19:53:14Z,"Homa is a global mobile game developer and publisher creating games people love. We partner with studios and internally develop games, having launched over 80 titles, reached over 2 billion downloads, and seen our game All in Hole break into the global top-50 grossing charts. These are milestones, not the finish line. With deep expertise in product and technology, we built Homa Lab, our proprietary platform that gives developers the market intelligence, data tools, and game tech, with AI built-…"
5761603839,Data Analyst,Data Analyst,Capijobnew,France,France,,,,2026-06-12T22:34:05Z,"L’entrepriseC’est une startup pépite Lyonnaise qui révolutionne dans le domaine de la gestion de trésorerie. En moins de 5 ans, elle est devenue l’une des scale-up les plus rapides d’Europe, avec plus de 3500 clients et une croissance du CA de plus de 900 %.Rapide et intuitive, leur solution SaaS permet aux dirigeants et entrepreneurs d’automatiser leurs prévisions et leur suivi de trésorerie. Leur ambition est de devenir la solution globale de gestion financière pour les PME en Europe.Grâce à …"
5760743723,DATA ANALYST,Data Analyst,Toutechniciens,"Magny-les-Hameaux, Maurepas",France,38000.0,40000.0,,2026-06-12T03:14:33Z,"Notre client acteur de l'aéronautique recherche un DATA ANALYST H/F, vous aurez pour missions : - Accompagner les Gestionnaires de Compte Clients dans l'utilisation et l'optimisation des outils existants (support de proximité, résolution rapide des irritants), - Développer ou améliorer des solutions simples et rapides (type automatisations, reporting, interfaces) pour fluidifier les processus, - Mettre en place des indicateurs de performance (KPI) fiables et partagés permettant un pilotage plus…"
5695939878,Data Analyst,Data Analyst,Grohe R.L.,"La Défense, Courbevoie",France,900.0,1400.0,,2026-04-10T22:30:26Z,"Data Analyst À propos de GROHE GROHE est une marque mondiale leader dans les solutions complètes de salle de bains et de robinetterie de cuisine, dont la vocation est de fournir des produits sanitaires innovants qui procurent un « Pure Freude an Wasser ». Technologie, qualité, design et respect de l’environnement sont les valeurs qui illustrent l’engagement de GROHE à créer des expériences d’exception. Les activités de conception, d’ingénierie, de recherche et développement étant réalisées en A…"
5761928940,DATA ANALYST,Data Analyst,Fed Group,"Créteil, Val-de-Marne",France,65000.0,70000.0,permanent,2026-06-13T04:10:14Z,"FED FINANCE cabinet de recrutement spécialisé recherche pour une banque de renom un : Data analyst FED FINANCE cabinet de recrutement spécialisé recherche pour une banque de renom en pleine croissance Rattaché au Responsable du contrôle de gestion, vos principales missions seront les suivantes : - extraction et recueil des données financières pertinentes (PNB) ; - traitement et analyse des données; - mise en place des tableaux de bord pour les différentes équipes ; - recommandations aux Manager…"
5014307853,Data Analyst,Data Analyst,Temeritati,France,France,,,,2025-01-17T14:02:06Z,"Temeritati est un cabinet de conseil en management spécialisé dans les secteurs financier et industriel. Notre expertise repose sur le triptyque « Risques & Conformité », « Efficacité opérationnelle » et « Transformation digitale » Dans le cadre de notre développement, nous recherchons des profils pour renforcer notre pôle d'expertise avec des profils Data Scientist Contexte de la mission En tant que data analyste au sein de l’équipe marketing digital / crawlpricing, votre première mission sera…"
